,Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Unit_Cost,Total_Revenue,Total_Cost,Total_Profit
36782,Europe,Germany,Beverages,Online,M,01-04-2015,622843968,20-05-2015,2226,47.45,31.79,105623.7,70764.54,34859.16
11945,Europe,Greece,Baby Food,Online,H,01-04-2015,338088643,15-05-2015,6797,255.28,159.42,1735138.16,1083577.74,651560.42
14037,Europe,Greece,Fruits,Offline,C,01-04-2015,753906142,01-05-2015,6436,9.33,6.92,60047.88,44537.12,15510.76
23034,Europe,Greece,Baby Food,Online,H,01-04-2015,338088643,15-05-2015,6797,255.28,159.42,1735138.16,1083577.74,651560.42
25126,Europe,Greece,Fruits,Offline,C,01-04-2015,753906142,01-05-2015,6436,9.33,6.92,60047.88,44537.12,15510.76
37345,Europe,Greece,Baby Food,Online,H,01-04-2015,338088643,15-05-2015,6797,255.28,159.42,1735138.16,1083577.74,651560.42
1969,Europe,Hungary,Vegetables,Offline,L,01-04-2015,469150817,26-04-2015,1007,154.06,90.93,155138.42,91566.51,63571.91
4022,Europe,Hungary,Snacks,Offline,H,01-04-2015,425463426,16-04-2015,2937,152.58,97.44,448127.46,286181.28,161946.18
7633,Europe,Hungary,Office Supplies,Offline,L,01-04-2015,381776034,05-04-2015,4867,651.21,524.96,3169439.07,2554980.32,614458.75
16371,Europe,Hungary,Snacks,Offline,H,01-04-2015,425463426,16-04-2015,2937,152.58,97.44,448127.46,286181.28,161946.18
19982,Europe,Hungary,Office Supplies,Offline,L,01-04-2015,381776034,05-04-2015,4867,651.21,524.96,3169439.07,2554980.32,614458.75
28826,Europe,Hungary,Vegetables,Offline,L,01-04-2015,469150817,26-04-2015,1007,154.06,90.93,155138.42,91566.51,63571.91
32694,Europe,Hungary,Office Supplies,Offline,L,01-04-2015,381776034,05-04-2015,4867,651.21,524.96,3169439.07,2554980.32,614458.75
5368,Europe,Iceland,Beverages,Offline,L,01-04-2015,140708100,10-04-2015,7509,47.45,31.79,356302.05,238711.11,117590.94
7631,Europe,Iceland,Office Supplies,Offline,H,01-04-2015,997020709,21-05-2015,9439,651.21,524.96,6146771.19,4955097.44,1191673.75
11946,Europe,Iceland,Baby Food,Online,L,01-04-2015,953333318,10-05-2015,1369,255.28,159.42,349478.32,218245.98,131232.34
17717,Europe,Iceland,Beverages,Offline,L,01-04-2015,140708100,10-04-2015,7509,47.45,31.79,356302.05,238711.11,117590.94
19980,Europe,Iceland,Office Supplies,Offline,H,01-04-2015,997020709,21-05-2015,9439,651.21,524.96,6146771.19,4955097.44,1191673.75
23035,Europe,Iceland,Baby Food,Online,L,01-04-2015,953333318,10-05-2015,1369,255.28,159.42,349478.32,218245.98,131232.34
32692,Europe,Iceland,Office Supplies,Offline,H,01-04-2015,997020709,21-05-2015,9439,651.21,524.96,6146771.19,4955097.44,1191673.75
37346,Europe,Iceland,Baby Food,Online,L,01-04-2015,953333318,10-05-2015,1369,255.28,159.42,349478.32,218245.98,131232.34
3611,Europe,Ireland,Baby Food,Offline,M,01-04-2015,668577992,05-05-2015,5940,255.28,159.42,1516363.2,946954.8,569408.4
5997,Europe,Ireland,Meat,Offline,C,01-04-2015,712265384,15-05-2015,4010,421.89,364.69,1691778.9,1462406.9,229372.0
11937,Europe,Ireland,Beverages,Offline,M,01-04-2015,755952775,05-04-2015,2080,47.45,31.79,98696.0,66123.2,32572.8
15960,Europe,Ireland,Baby Food,Offline,M,01-04-2015,668577992,05-05-2015,5940,255.28,159.42,1516363.2,946954.8,569408.4
18346,Europe,Ireland,Meat,Offline,C,01-04-2015,712265384,15-05-2015,4010,421.89,364.69,1691778.9,1462406.9,229372.0
30468,Europe,Ireland,Baby Food,Offline,M,01-04-2015,668577992,05-05-2015,5940,255.28,159.42,1516363.2,946954.8,569408.4
31058,Europe,Ireland,Meat,Offline,C,01-04-2015,712265384,15-05-2015,4010,421.89,364.69,1691778.9,1462406.9,229372.0
37337,Europe,Ireland,Beverages,Offline,M,01-04-2015,755952775,05-04-2015,2080,47.45,31.79,98696.0,66123.2,32572.8
10219,Europe,Italy,Cereal,Offline,H,01-04-2015,383822667,30-04-2015,511,205.7,117.11,105112.7,59843.21,45269.49
22907,Europe,Italy,Cereal,Offline,H,01-04-2015,383822667,30-04-2015,511,205.7,117.11,105112.7,59843.21,45269.49
35619,Europe,Italy,Cereal,Offline,H,01-04-2015,383822667,30-04-2015,511,205.7,117.11,105112.7,59843.21,45269.49
428,Europe,Kosovo,Beverages,Online,H,01-04-2015,471197450,21-05-2015,6651,47.45,31.79,315589.95,211435.29,104154.66
10614,Europe,Kosovo,Meat,Offline,L,01-04-2015,427510058,10-05-2015,8581,421.89,364.69,3620238.09,3129404.89,490833.2
27285,Europe,Kosovo,Beverages,Online,H,01-04-2015,471197450,21-05-2015,6651,47.45,31.79,315589.95,211435.29,104154.66
36014,Europe,Kosovo,Meat,Offline,L,01-04-2015,427510058,10-05-2015,8581,421.89,364.69,3620238.09,3129404.89,490833.2
1869,Europe,Latvia,Household,Offline,M,01-04-2015,955379951,14-04-2015,7013,668.27,502.54,4686577.51,3524313.02,1162264.49
8462,Europe,Latvia,Cereal,Offline,C,01-04-2015,999067342,24-04-2015,5083,205.7,117.11,1045573.1,595270.13,450302.97
9782,Europe,Latvia,Baby Food,Online,C,01-04-2015,186442124,16-05-2015,1223,255.28,159.42,312207.44,194970.66,117236.78
13896,Europe,Latvia,Meat,Offline,M,01-04-2015,142754733,05-05-2015,3153,421.89,364.69,1330219.17,1149867.57,180351.6
21150,Europe,Latvia,Cereal,Offline,C,01-04-2015,999067342,24-04-2015,5083,205.7,117.11,1045573.1,595270.13,450302.97
22470,Europe,Latvia,Baby Food,Online,C,01-04-2015,186442124,16-05-2015,1223,255.28,159.42,312207.44,194970.66,117236.78
24985,Europe,Latvia,Meat,Offline,M,01-04-2015,142754733,05-05-2015,3153,421.89,364.69,1330219.17,1149867.57,180351.6
28726,Europe,Latvia,Household,Offline,M,01-04-2015,955379951,14-04-2015,7013,668.27,502.54,4686577.51,3524313.02,1162264.49
33862,Europe,Latvia,Cereal,Offline,C,01-04-2015,999067342,24-04-2015,5083,205.7,117.11,1045573.1,595270.13,450302.97
35182,Europe,Latvia,Baby Food,Online,C,01-04-2015,186442124,16-05-2015,1223,255.28,159.42,312207.44,194970.66,117236.78
979,Europe,Liechtenstein,Household,Offline,H,01-04-2015,670624625,09-04-2015,1584,668.27,502.54,1058539.68,796023.36,262516.32
1151,Europe,Liechtenstein,Baby Food,Online,L,01-04-2015,801686799,11-05-2015,5794,255.28,159.42,1479092.32,923679.48,555412.84
6421,Europe,Liechtenstein,Cereal,Offline,L,01-04-2015,714312016,19-04-2015,9654,205.7,117.11,1985827.8,1130579.94,855247.86
18770,Europe,Liechtenstein,Cereal,Offline,L,01-04-2015,714312016,19-04-2015,9654,205.7,117.11,1985827.8,1130579.94,855247.86
20193,Europe,Liechtenstein,Personal Care,Online,H,01-04-2015,757999408,30-04-2015,7724,81.73,56.67,631282.52,437719.08,193563.44
27836,Europe,Liechtenstein,Household,Offline,H,01-04-2015,670624625,09-04-2015,1584,668.27,502.54,1058539.68,796023.36,262516.32
28008,Europe,Liechtenstein,Baby Food,Online,L,01-04-2015,801686799,11-05-2015,5794,255.28,159.42,1479092.32,923679.48,555412.84
31482,Europe,Liechtenstein,Cereal,Offline,L,01-04-2015,714312016,19-04-2015,9654,205.7,117.11,1985827.8,1130579.94,855247.86
32905,Europe,Liechtenstein,Personal Care,Online,H,01-04-2015,757999408,30-04-2015,7724,81.73,56.67,631282.52,437719.08,193563.44
441,Europe,Lithuania,Household,Offline,L,01-04-2015,385869300,03-04-2015,6156,668.27,502.54,4113870.12,3093636.24,1020233.88
11305,Europe,Lithuania,Cereal,Offline,H,01-04-2015,429556691,14-04-2015,4225,205.7,117.11,869082.5,494789.75,374292.75
27298,Europe,Lithuania,Household,Offline,L,01-04-2015,385869300,03-04-2015,6156,668.27,502.54,4113870.12,3093636.24,1020233.88
36705,Europe,Lithuania,Cereal,Offline,H,01-04-2015,429556691,14-04-2015,4225,205.7,117.11,869082.5,494789.75,374292.75
13314,Europe,Luxembourg,Baby Food,Online,H,01-04-2015,516931474,05-05-2015,365,255.28,159.42,93177.2,58188.3,34988.9
24403,Europe,Luxembourg,Baby Food,Online,H,01-04-2015,516931474,05-05-2015,365,255.28,159.42,93177.2,58188.3,34988.9
26784,Europe,Luxembourg,Personal Care,Online,L,01-04-2015,473244082,25-04-2015,2295,81.73,56.67,187570.35,130057.65,57512.7
83,Europe,Macedonia,Cosmetics,Online,C,01-04-2015,144801366,09-04-2015,8797,437.2,263.33,3846048.4,2316514.01,1529534.39
7520,Europe,Macedonia,Baby Food,Online,C,01-04-2015,232176148,30-04-2015,4937,255.28,159.42,1260317.36,787056.54,473260.82
8055,Europe,Macedonia,Household,Offline,M,01-04-2015,101113975,19-05-2015,727,668.27,502.54,485832.29,365346.58,120485.71
14236,Europe,Macedonia,Personal Care,Online,M,01-04-2015,188488757,20-04-2015,6867,81.73,56.67,561239.91,389152.89,172087.02
19869,Europe,Macedonia,Baby Food,Online,C,01-04-2015,232176148,30-04-2015,4937,255.28,159.42,1260317.36,787056.54,473260.82
20743,Europe,Macedonia,Household,Offline,M,01-04-2015,101113975,19-05-2015,727,668.27,502.54,485832.29,365346.58,120485.71
25325,Europe,Macedonia,Personal Care,Online,M,01-04-2015,188488757,20-04-2015,6867,81.73,56.67,561239.91,389152.89,172087.02
26940,Europe,Macedonia,Cosmetics,Online,C,01-04-2015,144801366,09-04-2015,8797,437.2,263.33,3846048.4,2316514.01,1529534.39
32581,Europe,Macedonia,Baby Food,Online,C,01-04-2015,232176148,30-04-2015,4937,255.28,159.42,1260317.36,787056.54,473260.82
33455,Europe,Macedonia,Household,Offline,M,01-04-2015,101113975,19-05-2015,727,668.27,502.54,485832.29,365346.58,120485.71
698,Europe,Malta,Clothes,Offline,H,01-04-2015,716358649,14-05-2015,5298,109.28,35.84,578965.44,189880.32,389085.12
6883,Europe,Malta,Cereal,Online,L,01-04-2015,847420823,25-04-2015,9508,205.7,117.11,1955795.6,1113481.88,842313.72
11173,Europe,Malta,Personal Care,Online,H,01-04-2015,803733432,14-04-2015,1438,81.73,56.67,117527.74,81491.46,36036.28
11760,Europe,Malta,Cosmetics,Online,L,01-04-2015,760046041,04-04-2015,3368,437.2,263.33,1472489.6,886895.44,585594.16
19232,Europe,Malta,Cereal,Online,L,01-04-2015,847420823,25-04-2015,9508,205.7,117.11,1955795.6,1113481.88,842313.72
27555,Europe,Malta,Clothes,Offline,H,01-04-2015,716358649,14-05-2015,5298,109.28,35.84,578965.44,189880.32,389085.12
31944,Europe,Malta,Cereal,Online,L,01-04-2015,847420823,25-04-2015,9508,205.7,117.11,1955795.6,1113481.88,842313.72
36573,Europe,Malta,Personal Care,Online,H,01-04-2015,803733432,14-04-2015,1438,81.73,56.67,117527.74,81491.46,36036.28
37160,Europe,Malta,Cosmetics,Online,L,01-04-2015,760046041,04-04-2015,3368,437.2,263.33,1472489.6,886895.44,585594.16
1414,Europe,Moldova ,Clothes,Online,C,01-04-2015,431603324,09-05-2015,9870,109.28,35.84,1078593.6,353740.8,724852.8
7436,Europe,Moldova ,Cosmetics,Online,M,01-04-2015,475290715,20-05-2015,7939,437.2,263.33,3470930.8,2090576.87,1380353.93
14555,Europe,Moldova ,Household,Online,C,01-04-2015,518978106,09-04-2015,6009,668.27,502.54,4015634.43,3019762.86,995871.57
